timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,1668.6016,2498.4421,3331.3623,4182.817,5033.567,5882.243,6761.2407,7642.618,8536.519,9442.064,10361.015,11265.069,12201.32,13136.721,14078.645,15048.781,16043.332,17051.916,18068.99,19098.281,20167.238,21246.742,22356.695,23478.236,24613.936,25771.584,26956.902,28152.53,29373.752,30618.66,31890.879,33193.047,34514.715,35852.25,37209.465,38578.566,39988.547,41412.297,42868.008,44325.6,45785.01,47281.492,48803.02,50352.05,51936.906,53553.062,55174.684,56814.86,58474.266,60164.656,61880.375,63648.035,65453.44,67291.65,69184.586,71102.79,73085.33,75097.516,77187.1,79337.24,81572.59,83865.836,86205.49,88640.44,91160.59,93765.336,96451.37,99258.83,102191.086,105235.46,108404.8,111728.43,115184.02,118799.69,122562.125,126459.79,130572.94,134898.4,139415.2,144176.06,149223.42,154560.0,160196.47,166196.03,172572.42,179381.69,186718.4,194647.4,203257.77,212578.1,222841.88,234224.6,246994.28,261297.67,277438.94,295938.28,317331.56,343212.1,376418.75,420925.06
11,1706.2439,2546.0896,3389.8662,4250.791,5116.61,5995.1772,6879.496,7771.1,8680.1875,9574.322,10476.052,11408.043,12344.076,13283.624,14240.38,15208.2,16179.133,17169.922,18184.18,19198.59,20225.77,21285.27,22363.1,23461.355,24571.502,25686.04,26830.514,27975.896,29115.305,30279.387,31458.494,32637.78,33811.336,34978.94,36179.98,37387.484,38602.867,39878.996,41168.902,42455.484,43772.68,45120.176,46479.47,47873.766,49303.52,50757.46,52242.33,53757.297,55317.312,56888.113,58506.48,60163.277,61860.656,63582.16,65362.53,67187.16,69040.73,70959.75,72927.46,74949.48,77041.98,79184.62,81376.055,83645.234,85975.72,88400.875,90928.836,93529.2,96255.69,99096.59,102084.47,105184.97,108447.84,111874.69,115462.16,119231.59,123217.85,127357.516,131732.47,136403.9,141281.14,146463.19,151944.58,157796.22,163944.12,170516.73,177571.17,185115.0,193368.22,202301.36,212028.5,222767.88,234603.31,247877.11,262683.5,279519.2,298934.22,321816.06,350691.62,388312.5
12,1573.1805,2422.5325,3303.3296,4198.22,5087.086,6014.2393,6956.133,7911.2744,8867.325,9835.187,10816.14,11806.721,12789.845,13766.322,14769.599,15791.066,16830.387,17878.268,18962.31,20064.295,21193.777,22334.94,23506.336,24704.836,25904.277,27133.547,28403.4,29684.377,30982.676,32295.389,33656.35,35030.74,36410.316,37814.62,39243.195,40697.39,42188.48,43672.418,45178.695,46727.26,48299.88,49890.35,51501.945,53144.68,54823.438,56534.566,58257.816,60012.383,61795.227,63604.69,65471.64,67378.71,69343.945,71329.89,73375.79,75446.805,77576.18,79749.96,81980.086,84279.766,86636.57,89070.26,91582.45,94188.75,96856.35,99581.73,102418.36,105348.25,108376.02,111518.48,114762.95,118133.69,121640.06,125289.37,129105.87,133104.9,137264.64,141677.28,146284.77,151087.55,156100.75,161385.11,166946.11,172740.53,178790.08,185056.81,191620.28,198523.11,205855.39,213726.66,222348.47,232021.83,242779.34,254862.11,268407.53,283626.66,301219.8,321793.5,346877.34,378766.12
13,1671.2313,2474.1284,3283.2034,4127.588,4975.094,5832.6655,6699.799,7576.121,8454.1455,9365.262,10282.0,11208.463,12155.938,13101.102,14050.056,15018.888,15996.152,16999.525,18014.799,19063.406,20128.338,21213.992,22309.365,23419.459,24570.48,25734.05,26919.924,28128.852,29355.166,30612.377,31876.43,33178.56,34508.29,35861.523,37212.805,38575.453,39977.324,41399.96,42830.477,44287.914,45758.617,47263.316,48795.188,50338.203,51897.133,53488.52,55097.832,56733.06,58398.715,60094.684,61826.047,63584.23,65375.336,67209.086,69074.39,70980.71,72940.805,74957.516,77034.63,79171.96,81363.41,83631.55,85981.38,88424.69,90936.484,93550.375,96259.29,99082.266,101993.35,105041.16,108233.76,111579.91,115092.35,118750.195,122578.12,126598.39,130842.875,135276.73,139983.34,144912.7,150095.27,155560.8,161377.56,167550.92,174108.4,181082.19,188576.44,196605.19,205272.25,214537.67,224707.19,235852.39,248146.22,261726.7,277004.97,294271.2,314199.34,338119.03,368438.94,407775.34
14,1685.8972,2492.8447,3308.77,4142.814,4979.1265,5831.338,6678.3804,7547.063,8418.367,9288.8125,10178.484,11060.671,11959.655,12866.422,13777.25,14706.293,15646.4795,16609.053,17544.342,18537.752,19544.107,20574.03,21593.018,22670.908,23760.438,24869.512,25995.72,27146.781,28304.908,29503.434,30724.955,31964.844,33223.45,34502.27,35793.242,37081.418,38399.59,39739.195,41101.168,42468.45,43869.723,45282.902,46724.953,48197.97,49663.234,51170.227,52688.28,54234.664,55824.22,57421.746,59063.195,60737.184,62460.78,64208.152,66015.57,67864.54,69738.2,71689.555,73681.36,75737.41,77844.04,80030.57,82278.56,84629.17,87030.28,89517.64,92122.586,94833.68,97646.52,100609.914,103698.67,106904.65,110308.23,113870.71,117627.23,121547.25,125710.836,130086.73,134696.89,139553.05,144685.38,150129.39,155937.9,162117.75,168759.75,175816.58,183408.92,191594.98,200482.9,210107.28,220526.38,232002.3,244602.22,258560.08,274192.44,292001.12,312405.2,336721.84,367037.03,407188.0
15,1643.2296,2433.9153,3248.9302,4040.814,4858.9634,5676.855,6500.3516,7352.339,8210.695,9081.5205,9973.031,10863.734,11780.544,12710.666,13662.377,14648.196,15634.3,16634.504,17662.975,18698.697,19778.842,20874.967,21984.156,23125.328,24258.941,25426.238,26611.627,27825.916,29028.902,30280.715,31551.824,32818.008,34105.863,35425.418,36737.336,38081.89,39424.29,40776.32,42141.77,43558.434,44974.42,46411.523,47870.03,49349.97,50829.78,52347.984,53901.49,55496.27,57096.42,58759.082,60457.598,62192.19,63956.85,65770.73,67642.57,69555.92,71522.78,73554.75,75623.65,77772.32,79975.25,82226.87,84549.18,86947.86,89449.88,92032.59,94696.66,97481.375,100350.49,103341.984,106486.21,109763.89,113194.62,116779.63,120542.27,124471.91,128620.87,132937.5,137505.67,142332.34,147439.03,152800.16,158525.72,164570.17,171039.83,178000.72,185412.72,193471.23,202176.5,211725.4,222158.52,233738.06,246741.84,261417.69,278021.62,297229.22,319685.03,346646.5,381156.06,428289.72
16,1632.1045,2355.3848,3084.6711,3819.8826,4578.0854,5351.155,6125.6455,6933.156,7741.505,8568.427,9417.6045,10277.967,11150.12,12046.337,12956.196,13872.426,14810.206,15767.061,16740.344,17723.037,18729.676,19750.809,20796.55,21849.32,22916.377,24012.951,25131.732,26263.24,27412.438,28593.375,29796.91,31005.957,32261.492,33528.0,34807.703,36127.773,37473.137,38840.926,40234.52,41637.723,43077.805,44531.773,46030.207,47549.15,49089.47,50671.312,52270.035,53900.86,55573.082,57285.08,59024.188,60798.504,62617.25,64473.633,66381.71,68329.56,70339.06,72412.61,74542.23,76717.055,78963.414,81276.84,83659.1,86137.94,88685.02,91330.52,94066.34,96913.37,99843.984,102927.93,106082.695,109385.96,112827.49,116437.17,120200.625,124109.95,128242.8,132580.69,137143.38,141903.36,146972.73,152311.16,158044.67,164103.95,170554.44,177418.0,184778.94,192736.44,201363.84,210710.08,221089.17,232730.83,245768.42,260680.22,277634.8,297085.5,319480.3,346657.75,381352.2,429032.47
17,1688.7463,2581.9802,3486.0347,4398.536,5311.7983,6239.94,7188.2397,8145.7,9104.036,10068.611,11062.046,12058.904,13081.354,14108.752,15141.108,16209.052,17291.07,18370.361,19476.447,20607.74,21731.354,22873.041,24053.193,25250.842,26453.424,27681.986,28935.412,30215.18,31503.713,32838.477,34184.105,35544.12,36930.84,38331.94,39785.555,41247.16,42731.047,44232.574,45732.016,47234.457,48748.79,50274.89,51823.88,53394.465,54992.89,56593.527,58217.49,59864.785,61526.363,63206.2,64913.633,66659.24,68430.66,70241.29,72079.24,73982.96,75912.27,77897.58,79927.72,82025.37,84189.664,86407.28,88703.54,91075.734,93552.01,96097.58,98742.93,101509.23,104375.75,107356.15,110471.21,113733.836,117159.58,120713.65,124467.59,128399.61,132497.88,136890.83,141457.8,146281.0,151406.66,156788.95,162510.05,168623.66,175140.62,182097.11,189631.56,197641.77,206242.66,215539.55,225681.34,236689.88,248858.86,262486.78,277731.75,295063.7,314745.94,337871.47,366475.4,403435.28
18,1704.5188,2482.1743,3267.2026,4059.6555,4865.863,5682.664,6517.641,7355.47,8203.255,9078.073,9959.102,10843.784,11757.051,12671.318,13586.766,14512.934,15443.972,16383.067,17345.479,18337.672,19320.342,20322.549,21343.959,22396.746,23464.473,24549.414,25637.412,26776.365,27905.518,29085.332,30255.13,31466.395,32706.0,33963.25,35235.75,36528.527,37830.562,39148.62,40501.645,41891.62,43316.582,44752.61,46204.402,47696.477,49216.22,50773.26,52377.258,54002.89,55668.17,57366.69,59065.22,60777.477,62544.18,64346.742,66174.4,68054.336,69993.14,71956.84,73989.266,76066.88,78210.24,80412.234,82690.44,85042.41,87458.13,89961.016,92549.38,95248.69,98023.8,100922.75,103960.79,107102.266,110387.16,113816.84,117424.56,121120.19,125016.78,129092.945,133349.72,137862.55,142568.75,147549.88,152843.06,158453.7,164508.69,170929.67,177861.72,185281.42,193356.39,202321.9,212262.45,223371.89,235985.19,250586.6,267662.6,287680.9,312156.03,342638.5,383599.62,444230.1
19,1645.1184,2424.5312,3219.0068,4038.112,4877.1245,5724.2725,6573.571,7450.211,8325.185,9204.767,10100.636,11017.164,11948.157,12890.013,13846.724,14814.919,15804.196,16811.383,17820.557,18858.545,19909.453,20984.377,22069.873,23165.45,24288.514,25429.8,26592.771,27767.074,28962.604,30188.762,31429.627,32700.678,33995.027,35326.457,36687.617,38071.824,39475.07,40911.664,42372.17,43852.484,45362.375,46892.707,48441.53,50017.367,51618.574,53237.5,54895.797,56581.234,58296.066,60030.465,61786.234,63569.016,65393.145,67251.26,69127.94,71054.19,73037.95,75053.69,77122.484,79243.93,81436.81,83722.875,86052.72,88461.95,90955.805,93528.58,96195.375,98948.01,101812.49,104799.08,107898.76,111137.1,114524.15,118055.88,121716.8,125544.85,129560.63,133788.98,138228.69,142909.33,147856.97,153124.34,158677.97,164595.19,170925.22,177755.64,185046.56,192977.05,201607.08,211050.45,221481.92,233197.8,246302.67,261046.7,277956.6,297474.8,320524.56,348534.2,385115.4,437127.66
20,1681.6694,2494.8472,3314.1157,4151.651,5012.2085,5872.356,6738.096,7619.084,8496.876,9392.797,10288.736,11187.725,12121.9795,13049.741,13977.483,14929.785,15891.889,16866.688,17863.506,18888.295,19936.746,20994.166,22071.822,23176.145,24285.97,25422.309,26572.781,27759.215,28946.193,30173.16,31404.97,32662.742,33928.51,35229.547,36548.19,37892.24,39252.17,40644.375,42043.855,43459.984,44900.535,46360.133,47855.465,49350.902,50891.73,52452.04,54054.81,55681.496,57329.227,59004.918,60702.76,62424.164,64176.27,65956.69,67786.664,69647.25,71570.77,73539.51,75564.47,77663.01,79816.586,82040.08,84334.12,86696.74,89146.15,91673.81,94280.84,97016.27,99871.37,102844.7,105948.47,109149.9,112505.14,116039.75,119727.53,123601.0,127644.99,131903.22,136360.8,141066.2,146012.83,151188.02,156735.44,162579.05,168840.36,175509.42,182731.73,190484.47,198978.62,208217.27,218542.69,230111.6,243182.67,258160.23,275178.1,294897.47,318020.56,345864.06,381659.47,431143.75
21,1648.2087,2471.8462,3312.4666,4161.1797,5024.633,5896.554,6777.3086,7663.367,8554.164,9442.938,10358.21,11277.359,12214.872,13175.332,14161.944,15169.227,16165.158,17218.346,18279.38,19361.334,20466.441,21595.967,22735.598,23907.746,25095.965,26319.77,27578.764,28852.041,30137.504,31456.832,32797.316,34152.58,35533.824,36925.76,38306.113,39703.137,41119.113,42545.85,43993.47,45450.168,46917.555,48406.965,49897.547,51415.902,52949.74,54519.594,56112.387,57735.52,59390.957,61082.832,62810.36,64585.13,66386.7,68242.055,70122.836,72065.74,74049.484,76096.41,78200.445,80368.14,82593.34,84887.55,87253.81,89698.89,92231.445,94846.38,97561.79,100374.61,103292.375,106332.9,109496.43,112805.97,116271.66,119915.375,123741.23,127725.34,131891.25,136280.05,140878.73,145723.08,150861.25,156298.56,162110.31,168236.83,174706.34,181654.84,189132.0,197165.14,205824.0,215294.83,225725.56,237340.69,250399.0,265159.72,282005.12,301246.12,323380.72,349427.78,381932.53,425930.38
22,1650.8501,2468.4263,3301.7349,4164.947,5034.8276,5927.8267,6832.0356,7748.8086,8676.721,9612.792,10557.045,11516.271,12493.395,13484.515,14486.03,15511.284,16551.117,17617.795,18707.67,19814.05,20939.406,22083.176,23250.494,24435.125,25629.312,26867.59,28108.307,29375.443,30657.16,31956.121,33285.69,34615.406,35979.742,37359.39,38758.04,40178.637,41631.24,43106.867,44596.824,46078.938,47590.49,49113.734,50667.562,52244.027,53844.92,55449.957,57077.887,58715.066,60371.504,62048.05,63751.285,65496.582,67280.35,69108.33,70968.62,72877.59,74836.3,76860.766,78936.38,81086.34,83308.26,85588.18,87937.01,90358.945,92876.23,95507.01,98207.58,101030.34,103960.016,107012.2,110198.195,113515.51,117011.875,120670.82,124511.85,128519.8,132684.0,137097.08,141704.2,146589.75,151756.75,157251.77,163020.14,169173.52,175751.9,182720.44,190270.64,198365.7,207195.9,216900.55,227667.77,239627.69,253069.64,268141.84,285184.44,304521.0,326693.16,352622.44,385162.97,429397.6
23,1631.9906,2472.4329,3336.3997,4201.549,5092.0894,5982.195,6868.0273,7767.914,8661.394,9575.395,10497.242,11442.166,12401.953,13373.968,14359.951,15363.778,16377.79,17417.201,18467.268,19535.07,20613.793,21718.867,22849.22,23994.598,25167.09,26358.703,27578.23,28804.232,30063.611,31339.893,32646.666,33977.906,35337.08,36713.266,38111.43,39530.19,40985.66,42448.184,43939.93,45446.133,46978.96,48530.617,50098.5,51684.723,53287.047,54918.12,56568.84,58243.902,59959.35,61696.426,63469.754,65256.64,67065.06,68916.94,70797.45,72730.63,74713.54,76721.34,78799.055,80939.39,83141.5,85399.42,87734.58,90152.81,92650.04,95236.445,97930.74,100736.0,103653.65,106699.914,109885.81,113179.04,116657.07,120296.96,124099.43,128051.1,132187.83,136553.3,141175.64,146055.3,151211.86,156617.9,162361.12,168480.9,174982.47,181971.3,189540.98,197590.2,206268.53,215808.11,226155.83,237535.98,250093.22,264047.66,279721.84,297549.66,318624.38,343914.9,376293.88,419139.62
24,1682.3632,2466.7334,3263.8225,4061.5195,4875.4917,5700.3984,6542.867,7396.107,8258.085,9141.639,10026.705,10932.066,11839.402,12764.466,13704.555,14653.912,15631.381,16628.076,17627.783,18634.328,19681.69,20743.393,21823.6,22925.28,24057.088,25189.516,26351.416,27533.383,28721.72,29948.104,31199.256,32473.973,33774.926,35090.984,36429.336,37791.86,39175.906,40578.5,41990.23,43443.52,44906.04,46393.473,47894.06,49423.715,50992.516,52591.188,54204.234,55841.695,57496.844,59187.06,60912.19,62671.895,64458.098,66289.445,68165.06,70084.125,72051.31,74063.71,76132.984,78279.43,80483.336,82748.31,85083.36,87485.04,89989.31,92572.484,95248.625,98023.875,100895.08,103871.8,107016.81,110284.984,113697.77,117232.62,120912.52,124779.414,128854.84,133140.67,137613.02,142341.19,147343.62,152636.05,158233.61,164211.73,170627.17,177503.28,184875.61,192851.47,201524.94,211022.66,221482.0,233249.27,246503.7,261587.48,278994.94,299284.66,323269.34,352630.22,391053.3,445775.9
25,1580.0074,2394.653,3241.0374,4112.64,4989.0913,5889.747,6804.9863,7748.5576,8718.872,9684.384,10688.68,11704.142,12719.451,13743.916,14798.172,15863.12,16930.777,18028.184,19113.357,20219.773,21358.426,22509.773,23689.99,24903.97,26121.613,27367.225,28643.164,29944.5,31262.723,32628.3,34018.09,35434.59,36882.75,38368.62,39851.4,41366.094,42916.453,44484.04,46100.414,47736.816,49398.04,51094.19,52826.387,54587.26,56387.16,58202.37,60043.945,61933.11,63851.18,65807.305,67794.27,69814.97,71898.27,74025.734,76182.34,78353.82,80604.375,82898.08,85223.53,87620.26,90070.58,92587.89,95177.445,97820.39,100518.47,103313.85,106186.414,109143.68,112197.51,115328.35,118562.41,121931.36,125417.1,129032.77,132779.48,136696.25,140737.08,144990.06,149387.73,154002.4,158836.98,163930.72,169262.53,174879.44,180728.03,186860.81,193318.42,200125.44,207216.31,214677.2,222784.05,231689.08,241459.67,252480.97,264977.06,279033.66,295039.6,313588.34,336797.72,365540.94
