timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,1611.4708,2432.4717,3257.4236,4101.6587,4929.464,5777.4087,6644.011,7537.55,8443.388,9367.281,10305.3955,11249.191,12195.87,13163.302,14161.414,15152.639,16160.044,17181.088,18202.254,19245.947,20290.535,21346.453,22426.992,23536.959,24652.047,25786.525,26945.969,28105.34,29305.078,30522.943,31751.602,32987.965,34247.383,35542.43,36853.453,38192.03,39556.0,40945.504,42351.457,43779.43,45237.41,46722.715,48203.168,49745.895,51291.98,52875.605,54482.86,56104.98,57774.926,59487.01,61221.625,63000.78,64818.895,66677.125,68585.53,70553.89,72550.37,74612.32,76734.125,78932.3,81179.9,83503.63,85918.54,88410.91,90992.25,93656.65,96457.67,99357.03,102348.07,105436.04,108662.734,111999.96,115461.83,119073.945,122816.68,126737.21,130858.76,135143.14,139655.27,144406.94,149403.8,154715.6,160412.9,166468.45,172940.78,179908.27,187476.52,195635.86,204475.61,214194.75,224839.89,236450.98,249423.8,263955.22,280610.12,299948.4,322374.56,349039.5,381596.97,424516.94
11,1645.3896,2542.857,3441.2344,4360.1094,5283.52,6221.512,7156.85,8113.7144,9078.912,10053.536,11036.279,12033.487,13040.105,14073.635,15103.05,16168.412,17224.271,18310.908,19411.5,20534.691,21656.791,22806.268,23969.594,25147.725,26349.602,27577.05,28802.188,30060.213,31352.893,32657.686,33981.74,35326.695,36696.707,38082.324,39483.83,40899.19,42332.23,43801.062,45269.508,46754.258,48262.992,49804.8,51364.188,52960.42,54570.402,56205.84,57891.492,59596.527,61342.92,63144.42,64991.895,66904.016,68858.74,70904.79,72983.09,75147.29,77325.81,79576.86,81877.08,84247.03,86684.65,89188.25,91756.31,94411.14,97115.27,99920.96,102801.64,105775.56,108855.836,112040.57,115354.75,118810.52,122385.625,126134.26,130062.2,134156.48,138463.83,142991.9,147768.7,152825.02,158096.03,163706.9,169662.81,176019.5,182741.47,189893.06,197517.56,205746.53,214583.39,224043.12,234313.19,245437.98,257705.97,271361.84,286933.1,304947.88,326117.8,351041.22,381608.28,421729.03
12,1608.666,2498.9897,3391.6714,4299.4917,5223.8335,6155.316,7099.1953,8077.3496,9052.275,10041.522,11039.903,12054.026,13083.726,14117.45,15179.692,16248.215,17341.209,18462.3,19594.67,20746.121,21908.15,23087.475,24279.086,25504.016,26739.652,27993.764,29264.23,30567.361,31895.176,33239.617,34611.4,36003.58,37429.28,38874.492,40342.402,41818.81,43327.152,44861.68,46422.33,48002.156,49612.996,51243.477,52897.484,54586.188,56311.52,58056.87,59842.484,61662.098,63515.094,65410.91,67331.3,69298.05,71303.33,73339.44,75417.94,77554.15,79733.375,81986.055,84304.58,86639.84,89054.66,91527.2,94078.19,96697.08,99429.88,102246.625,105167.13,108199.47,111339.79,114581.0,117967.24,121481.92,125152.945,128950.0,132919.03,137041.25,141315.56,145847.94,150649.69,155704.78,161055.05,166720.58,172715.42,179113.8,185895.31,193108.75,200980.77,209455.62,218659.42,228516.44,239131.73,250830.36,263648.1,278096.0,294409.2,313254.2,335332.28,361316.62,393465.72,437367.88
13,1586.4028,2516.3523,3447.354,4397.412,5376.914,6359.919,7349.43,8341.34,9381.906,10428.556,11498.584,12567.339,13659.066,14764.408,15893.83,17023.553,18168.41,19348.238,20529.227,21743.666,22968.904,24211.545,25497.787,26789.654,28101.885,29440.234,30804.113,32176.613,33574.574,34993.92,36447.27,37914.82,39415.125,40938.676,42489.625,44078.332,45704.54,47367.96,49053.26,50779.08,52537.523,54329.668,56150.664,58015.89,59915.484,61858.703,63835.59,65846.17,67902.914,70014.055,72154.78,74339.516,76580.71,78859.8,81181.0,83565.195,86002.45,88486.98,91046.59,93643.55,96337.85,99107.96,101939.67,104847.19,107853.64,110922.97,114050.125,117277.12,120589.44,124030.59,127598.48,131303.9,135127.58,139081.98,143191.38,147499.52,151943.64,156605.64,161476.02,166562.28,171858.03,177416.31,183183.28,189278.38,195656.12,202333.86,209461.61,216876.89,224745.31,233103.94,241894.28,251300.47,261427.31,272661.12,285440.2,300207.1,317180.97,336949.2,360656.97,389824.3
14,1672.0056,2446.8862,3227.5322,3986.016,4758.0884,5559.726,6379.378,7207.3247,8051.471,8890.73,9738.001,10613.825,11486.488,12376.365,13262.552,14147.339,15045.609,15924.44,16846.525,17771.172,18704.525,19667.174,20634.676,21631.33,22631.975,23653.447,24705.791,25764.28,26843.129,27941.297,29048.691,30188.453,31338.568,32504.447,33695.086,34882.863,36120.1,37382.535,38678.16,39989.895,41318.977,42702.008,44113.152,45536.75,47008.266,48480.48,50005.527,51551.953,53137.395,54765.332,56434.37,58130.215,59883.297,61669.188,63502.94,65361.703,67271.234,69233.25,71270.79,73344.664,75465.36,77628.36,79876.72,82189.44,84561.1,86967.484,89473.08,92082.06,94805.05,97624.984,100565.66,103610.234,106788.38,110100.36,113605.945,117231.766,121065.26,125061.15,129320.3,133783.44,138484.98,143445.06,148722.92,154311.84,160318.62,166757.92,173769.27,181318.98,189630.25,198889.05,209117.34,220709.73,233876.03,249081.14,267008.06,288061.94,312796.4,341820.2,376840.84,422263.5
15,1658.7649,2421.7715,3198.795,4009.4973,4822.799,5660.809,6489.555,7328.704,8166.6143,9048.727,9923.659,10818.514,11737.761,12668.971,13615.204,14581.219,15553.458,16541.094,17541.352,18535.383,19580.824,20635.809,21713.797,22762.451,23847.04,24959.49,26072.191,27219.783,28391.016,29566.494,30759.166,31976.395,33211.348,34455.938,35723.664,37020.953,38334.11,39654.26,41009.355,42404.914,43820.727,45285.72,46757.426,48251.75,49776.76,51339.3,52920.62,54534.75,56196.895,57885.004,59605.83,61345.406,63129.668,64946.293,66825.21,68783.57,70735.92,72717.914,74727.62,76781.45,78893.86,81030.625,83275.95,85562.055,87932.85,90399.016,92940.43,95583.08,98348.21,101219.6,104165.48,107254.51,110464.01,113838.62,117353.37,121018.08,124852.77,128882.27,133134.34,137600.84,142347.8,147379.0,152713.95,158389.61,164484.5,171031.52,178148.86,185859.42,194327.66,203669.88,214038.9,225608.19,238667.6,253559.92,271120.56,291610.8,315667.2,343692.72,378552.28,424956.66
16,1669.2019,2429.3845,3166.2847,3937.5396,4716.377,5521.6104,6325.207,7145.074,7975.2935,8809.244,9640.082,10512.396,11377.258,12274.9375,13186.665,14112.583,15051.131,16000.368,16963.402,17952.652,18924.852,19916.252,20913.787,21932.676,22961.102,24013.143,25073.412,26148.691,27244.623,28341.264,29486.242,30640.89,31805.994,33011.35,34225.785,35477.402,36745.016,38011.016,39324.496,40651.195,42025.164,43414.27,44804.293,46230.64,47700.746,49197.117,50751.777,52329.105,53929.78,55601.688,57271.207,58963.77,60713.54,62520.562,64360.156,66260.266,68213.16,70222.67,72264.35,74319.266,76404.234,78564.14,80771.15,83014.59,85360.73,87793.66,90321.27,92943.47,95620.49,98415.43,101344.58,104392.195,107556.81,110841.59,114260.53,117879.44,121619.05,125567.73,129679.234,134000.44,138592.5,143444.66,148610.44,154147.78,160051.06,166370.55,173212.19,180642.62,188772.52,197755.42,207747.92,218818.11,231357.36,245823.64,262979.8,283338.78,306969.56,334335.97,367705.5,411357.47
17,1580.5173,2548.5098,3526.8335,4502.6904,5493.673,6479.9043,7486.001,8507.948,9547.399,10599.47,11676.147,12755.96,13848.655,14969.854,16104.537,17242.352,18400.777,19582.43,20778.234,21994.625,23233.014,24497.924,25785.084,27087.66,28411.648,29771.637,31138.102,32512.328,33906.03,35322.57,36770.984,38234.18,39709.82,41233.984,42758.023,44325.812,45898.82,47516.254,49146.676,50813.48,52508.34,54246.203,55999.19,57791.996,59609.23,61468.453,63346.53,65274.305,67218.836,69191.2,71215.984,73289.82,75401.43,77563.76,79786.25,82030.35,84341.98,86697.61,89126.78,91617.99,94182.87,96797.555,99494.58,102274.805,105126.734,108074.42,111137.16,114302.55,117573.89,120947.89,124480.46,128144.84,131963.34,135927.08,140058.28,144353.06,148887.08,153650.95,158619.4,163869.9,169328.81,175046.06,181070.27,187363.56,194023.45,201054.45,208483.25,216281.28,224518.22,233229.48,242570.16,252483.19,263255.72,275276.2,289010.0,304987.1,323652.72,345734.62,372881.97,407501.28
18,1596.6783,2516.8933,3449.8093,4401.254,5370.545,6341.058,7323.446,8327.748,9334.268,10353.439,11384.636,12437.583,13511.494,14590.882,15693.798,16821.678,17968.682,19117.82,20304.611,21504.809,22725.129,23955.607,25218.84,26505.697,27824.445,29156.46,30515.562,31862.518,33265.46,34699.74,36159.074,37636.86,39145.516,40676.06,42230.723,43815.836,45430.582,47073.785,48744.598,50443.934,52189.953,53952.71,55762.844,57606.08,59475.133,61397.465,63345.29,65330.613,67375.586,69437.62,71550.945,73699.12,75897.2,78145.13,80450.14,82793.266,85193.95,87637.32,90155.35,92740.41,95388.8,98093.15,100852.695,103721.85,106675.97,109746.89,112881.76,116135.35,119491.35,122958.75,126567.71,130287.805,134185.61,138222.75,142456.38,146781.55,151333.11,156077.67,161034.23,166207.42,171639.47,177360.27,183361.94,189688.12,196344.61,203342.86,210752.61,218564.62,226842.86,235535.64,244674.16,254445.9,264940.44,276673.8,290164.0,306085.22,324572.34,346350.8,372275.5,403909.38
19,1714.1238,2448.3083,3216.8643,3978.9207,4755.4233,5545.3926,6357.459,7176.02,7991.773,8817.026,9646.845,10512.882,11376.106,12241.835,13110.45,13981.65,14870.788,15799.387,16720.854,17675.422,18643.527,19637.55,20637.238,21630.992,22664.848,23724.846,24804.793,25900.342,27012.045,28129.857,29248.879,30393.576,31544.887,32734.441,33946.824,35180.324,36458.613,37726.742,39021.254,40336.6,41705.918,43090.152,44499.17,45956.06,47434.645,48937.43,50501.87,52090.758,53741.63,55449.215,57197.668,58970.332,60791.207,62659.504,64575.586,66550.73,68572.26,70665.3,72798.99,75005.16,77269.52,79574.3,81923.555,84316.375,86756.03,89269.86,91835.54,94497.25,97253.11,100132.49,103100.69,106158.48,109321.086,112600.66,116074.164,119616.984,123375.39,127248.19,131371.61,135678.98,140225.52,145033.94,150123.86,155487.89,161200.4,167282.4,173774.16,180776.47,188432.12,196781.97,206163.47,216762.44,228939.61,243033.7,260108.97,280579.44,304298.16,332021.06,366305.4,411067.84
20,1584.925,2421.7444,3277.7322,4141.6416,5038.0605,5906.3853,6788.9883,7680.5884,8564.629,9464.758,10379.626,11328.254,12297.011,13247.234,14223.324,15222.476,16258.263,17290.12,18324.777,19392.67,20471.977,21590.58,22715.957,23843.568,24998.62,26180.918,27374.988,28596.027,29837.756,31111.627,32390.594,33682.26,34980.387,36311.582,37682.19,39070.26,40467.14,41897.504,43350.227,44831.53,46337.14,47871.344,49422.36,51012.31,52590.723,54230.85,55906.55,57628.78,59354.613,61135.703,62949.312,64781.63,66683.945,68639.805,70616.36,72661.95,74755.6,76932.63,79172.56,81448.26,83829.34,86277.11,88822.82,91422.625,94122.984,96891.305,99757.64,102714.875,105752.24,108928.83,112205.74,115600.62,119154.55,122852.38,126689.09,130693.805,134858.1,139262.06,143893.97,148752.38,153861.92,159280.31,165042.94,171134.58,177637.83,184607.6,192077.77,200076.4,208671.61,217945.84,228050.16,239128.3,251380.72,265067.0,280823.75,298854.16,319869.28,344963.28,375905.56,416962.5
21,1691.5222,2384.65,3073.9832,3773.7705,4504.0547,5214.6685,5961.2666,6707.2324,7483.9307,8275.203,9064.386,9863.753,10693.361,11534.3955,12373.927,13225.52,14113.957,15001.67,15905.833,16796.422,17713.668,18634.65,19534.432,20459.639,21402.2,22391.912,23389.45,24378.377,25411.322,26457.168,27490.512,28512.516,29567.67,30578.203,31656.531,32789.914,33888.19,35035.13,36209.723,37414.98,38620.918,39868.664,41147.332,42478.04,43809.285,45213.816,46641.824,48116.42,49632.895,51195.39,52767.727,54405.902,56060.457,57772.277,59537.33,61331.15,63179.516,65080.445,67051.96,69079.61,71181.93,73340.86,75553.26,77827.445,80147.305,82535.695,84961.195,87441.53,90006.27,92676.484,95451.37,98299.82,101281.12,104343.805,107611.18,110957.305,114508.25,118193.72,122091.68,126126.84,130404.805,134891.11,139645.48,144683.2,150110.33,155936.5,162138.77,168821.19,176225.33,184308.4,193260.72,203283.53,214925.72,228343.52,244559.25,264305.66,288226.56,318104.1,356300.53,407167.88
22,1662.0992,2416.842,3166.8242,3938.5872,4737.5684,5533.0396,6325.874,7141.53,7980.649,8818.414,9675.234,10538.9795,11418.371,12293.691,13182.334,14079.01,15007.434,15939.192,16873.164,17826.969,18800.984,19789.176,20809.254,21839.807,22875.234,23925.502,25009.375,26097.43,27211.0,28309.691,29439.307,30596.207,31750.086,32921.363,34098.703,35328.434,36570.824,37825.92,39136.516,40454.047,41782.434,43156.523,44568.24,46016.066,47492.344,49005.215,50528.023,52098.797,53738.477,55382.473,57105.9,58859.37,60653.703,62473.39,64344.094,66272.75,68242.31,70285.81,72354.11,74474.71,76662.734,78874.8,81135.02,83460.7,85851.46,88321.47,90896.14,93552.336,96304.17,99153.49,102135.375,105219.75,108468.36,111838.44,115370.07,119097.14,123024.39,127102.125,131428.34,135950.7,140752.36,145837.84,151206.83,156933.9,163092.2,169697.61,176895.64,184752.62,193229.23,202589.44,213062.33,224895.64,238597.17,254276.47,272658.38,294067.12,319291.88,350230.84,390198.6,446387.2
23,1649.2198,2397.1028,3149.6235,3912.654,4692.552,5470.0366,6288.7407,7098.366,7923.6846,8774.176,9635.84,10506.683,11386.942,12277.305,13178.57,14091.543,14988.842,15930.542,16893.0,17848.055,18805.562,19794.904,20789.965,21790.406,22818.453,23878.078,24913.205,25986.543,27057.709,28159.594,29282.635,30431.785,31595.912,32768.266,33954.97,35157.742,36403.46,37661.906,38928.445,40239.066,41548.695,42869.31,44175.3,45568.43,46998.555,48485.59,49937.3,51449.08,53008.023,54586.332,56206.254,57889.75,59588.594,61358.17,63183.586,65060.992,66986.92,68949.08,70983.11,73072.9,75234.4,77431.086,79694.96,82033.46,84421.36,86901.07,89416.055,92019.46,94744.58,97533.45,100475.445,103523.89,106677.836,109971.766,113370.77,116939.72,120674.14,124559.31,128664.16,132968.03,137521.92,142218.11,147278.55,152654.69,158396.6,164552.69,171221.44,178379.03,186175.73,194759.89,204228.72,214900.4,226925.03,241023.17,257865.44,277749.84,301902.56,331434.8,368536.1,417871.62
24,1654.0806,2417.6167,3199.7974,3982.0034,4787.2715,5597.677,6414.6763,7239.2954,8049.9478,8905.996,9750.074,10629.087,11518.633,12423.651,13321.076,14266.503,15185.287,16125.025,17084.047,18054.182,19045.646,20051.457,21074.648,22107.17,23153.49,24216.56,25300.879,26400.281,27522.12,28660.932,29807.074,30959.113,32148.438,33333.49,34561.77,35814.06,37069.64,38353.8,39656.926,40988.016,42329.65,43727.836,45160.81,46602.34,48077.594,49599.41,51145.008,52748.254,54366.117,56028.383,57720.094,59469.85,61240.84,63044.69,64894.82,66785.85,68745.39,70743.51,72790.32,74886.06,77012.49,79180.83,81470.46,83800.05,86178.83,88652.28,91203.92,93831.64,96564.336,99420.52,102359.664,105441.664,108658.23,112031.14,115541.03,119253.62,123125.945,127189.49,131463.83,135959.39,140660.12,145680.4,151006.27,156727.9,162838.17,169364.4,176449.48,184036.69,192340.62,201569.08,211866.34,223543.67,236927.58,252454.39,270884.84,292499.12,317904.03,348471.75,386930.88,438392.53
25,1674.7273,2441.399,3201.6948,3993.0312,4793.498,5599.921,6411.53,7244.6284,8086.669,8946.1045,9814.379,10679.636,11549.507,12438.303,13342.456,14241.585,15149.79,16078.203,17028.1,17986.34,18950.812,19946.355,20953.582,21989.748,23039.74,24112.846,25182.926,26306.953,27452.152,28605.982,29776.7,30964.262,32195.768,33442.145,34690.31,35986.508,37320.883,38685.555,40065.67,41457.79,42900.797,44352.38,45840.824,47365.312,48908.09,50483.062,52102.457,53761.47,55437.195,57153.668,58910.71,60702.582,62516.617,64380.57,66247.34,68195.57,70155.97,72174.57,74260.98,76391.65,78566.79,80821.53,83122.945,85454.03,87883.164,90404.5,92995.38,95661.51,98468.08,101377.66,104400.82,107566.58,110845.695,114305.02,117914.83,121660.4,125601.695,129709.95,134010.17,138563.7,143341.72,148440.2,153854.28,159602.95,165746.98,172321.45,179446.34,187161.02,195558.12,204821.23,215288.47,226885.66,239954.0,254987.45,272501.72,293042.56,317179.88,345608.66,380622.16,426477.44
